accession	organism	tax_id	assembly_level	total_seq_len
GCF_000315875.1	Candida orthopsilosis Co 90-125	1136231	Chromosome	12659401
GCF_023343755.2	Candida oxycetoniae	497107	Scaffold	12748657
GCF_000182765.1	Candida parapsilosis	5480	Contig	12998393
GCF_024610245.1	Candida pseudojiufengensis	497109	Scaffold	13993769
GCF_024610275.1	Candida theae	1198502	Scaffold	12421729
GCF_000006335.3	Candida tropicalis MYA-3404	294747	Scaffold	14579835
GCF_003013715.1	Candidozyma auris	498019	Complete Genome	12249773
GCF_002926085.2	Candidozyma duobushaemuli	1231522	Contig	12557957
GCF_002926055.2	Candidozyma haemuli	45357	Contig	13274804
GCF_003013735.1	Candidozyma pseudohaemuli	418784	Scaffold	12591275
GCF_035149785.1	Candoia aspera	51853	Chromosome	1530810380
GCF_053574225.1	Canis aureus	68724	Chromosome	2529837068
GCF_048164855.1	Canis lupus baileyi	143281	Chromosome	2495589887
GCF_003254725.2	Canis lupus dingo	286419	Chromosome	2349862946
GCF_011100685.1	Canis lupus familiaris	9615	Chromosome	2481983352
GCF_000002285.5	Canis lupus familiaris	9615	Chromosome	2312785471
GCF_014441545.1	Canis lupus familiaris	9615	Chromosome	2396858295
GCF_029168945.1	Cannabis sativa	3483	Chromosome	770269637
GCF_015039405.1	Cantharellus anzutake	1750568	Contig	120173979
GCF_001704415.2	Capra hircus	9925	Chromosome	2922600443
GCF_032405125.1	Capricornis sumatraensis	34865	Chromosome	2828266837
GCF_907165065.1	Caprimulgus europaeus	111811	Chromosome	1177791212
GCF_000585585.1	Capronia coronata CBS 617.96	1182541	Scaffold	25807613
GCF_000585565.1	Capronia epimyces CBS 606.96	1182542	Scaffold	28889638
GCF_000151315.2	Capsaspora owczarzaki ATCC 30864	595528	Scaffold	27967784
GCF_000375325.1	Capsella rubella	81985	Scaffold	133063876
GCF_002878395.1	Capsicum annuum	4072	Chromosome	3211819707
GCF_003368295.1	Carassius auratus	7957	Chromosome	1820618472
GCF_963082965.1	Carassius carassius	217509	Chromosome	1684296438
GCF_023724105.1	Carassius gibelio	101364	Chromosome	1583334954
GCF_965287045.1	Carcharhinus amblyrhynchos	263684	Chromosome	2923561432
GCF_017639515.1	Carcharodon carcharias	13397	Chromosome	4286294447
GCF_019399895.1	Cardiocondyla obscurior	286306	Chromosome	193020115
GCF_965140235.1	Caretta caretta	8467	Chromosome	2217236305
GCF_033958435.1	Carettochelys insculpta	44489	Chromosome	2180317067
GCF_964058835.1	Carex rostrata	241230	Chromosome	380999594
GCF_000690535.1	Cariama cristata	54380	Scaffold	1132245425
GCF_000150535.2	Carica papaya	3649	Scaffold	369781828
GCF_000164805.1	Carlito syrichta	1868482	Scaffold	3453847770
GCF_018687715.1	Carya illinoinensis	32201	Chromosome	674272338
GCF_040712315.1	Castanea sativa	21020	Chromosome	715869006
GCF_047511655.1	Castor canadensis	51338	Chromosome	2814832999
GCF_021464435.1	Cataglyphis hispanica	1086592	Chromosome	206388925
GCF_009819885.2	Catharus ustulatus	91951	Chromosome	1131616530
GCF_000203815.1	Cavenderia fasciculata	261658	Scaffold	31019208
GCF_034190915.1	Cavia porcellus	10141	Scaffold	3145520116
GCF_023349555.1	Cebidichthys violaceus	271503	Scaffold	575643635
GCF_001604975.1	Cebus imitator	2715852	Scaffold	2717703182
GCF_001692895.1	Cenococcum geophilum 1.58	794803	Scaffold	177557160
GCF_046629955.1	Centroberyx affinis	166261	Contig	774638115
GCF_048128805.1	Centroberyx gerrardi	166262	Chromosome	779177424
GCF_019232065.1	Centrocercus urophasianus	9002	Scaffold	1010657860
GCF_030273125.1	Centropristis striata	184440	Chromosome	926021963
GCF_000671375.1	Centruroides sculpturatus	218467	Scaffold	925474958
GCF_030686945.1	Centruroides vittatus	120091	Scaffold	760156134
GCF_000341935.2	Cephus cinctus	211228	Scaffold	160731354
GCF_003144195.1	Ceraceosorus guamensis	1522189	Scaffold	24148100
GCF_001652005.2	Ceratina calcarata	156304	Scaffold	198802613
GCF_000347755.3	Ceratitis capitata	7213	Scaffold	436474819
GCF_044167205.1	Ceratocystis lukuohia	2019550	Contig	31721542
GCF_000503995.2	Ceratosolen solmsi marchali	326594	Scaffold	276157622
GCF_000283155.1	Ceratotherium simum simum	73337	Scaffold	2464350348
GCF_000955945.1	Cercocebus atys	9531	Scaffold	2848246356
GCF_033473495.1	Cercospora beticola	122368	Complete Genome	36074111
GCF_019650295.1	Cercospora kikuchii	84275	Contig	34440063
GCF_019320065.1	Cervus canadensis	1574408	Chromosome	2526613007
GCF_910594005.1	Cervus elaphus	9860	Chromosome	2886603524
GCF_964194155.1	Cetorhinus maximus	57982	Chromosome	3993849873
GCF_051107435.1	Chaetodon auriga	39042	Chromosome	663087921
GCF_039877785.1	Chaetodon trifascialis	109706	Chromosome	662489023
GCF_033439085.1	Chaetomium fimeti	1854472	Contig	35321551
GCF_000143365.1	Chaetomium globosum CBS 148.51	306901	Scaffold	34276485
GCF_033439665.1	Chaetomium strumarium	1170767	Contig	32422668
GCF_020726465.1	Chaetomium tenue	1854479	Contig	34154134
GCF_000747805.2	Chaetura pelagica	8897	Scaffold	1118724105
GCF_029207755.1	Chamaea fasciata	190680	Scaffold	1194528561
GCF_033026475.1	Channa argus	215402	Chromosome	675457141
GCF_024489055.1	Chanodichthys erythropterus	933992	Chromosome	1085510300
GCF_902362185.1	Chanos chanos	29144	Chromosome	656912816
GCF_000708025.1	Charadrius vociferus	50402	Scaffold	1219859583
GCF_018320785.1	Cheilinus undulatus	241271	Chromosome	1173455521
GCF_017976325.1	Chelmon rostratus	109905	Chromosome	644191893
GCF_015237465.2	Chelonia mydas	8469	Chromosome	2134358617
GCF_003597395.2	Chelonoidis abingdonii	106734	Chromosome	2256468705
GCF_013357705.1	Chelonus insularis	460826	Scaffold	135730493
GCF_948465745.1	Chenopodium album	3559	Chromosome	1593843283
GCF_001683475.1	Chenopodium quinoa	63459	Scaffold	1333398936
GCF_038502225.1	Cherax quadricarinatus	27406	Chromosome	3954007681
GCF_004010195.1	Chiloscyllium plagiosum	36176	Chromosome	3556460701
GCF_047496795.1	Chiloscyllium punctatum	137246	Chromosome	5274411202
GCF_000276665.1	Chinchilla lanigera	34839	Scaffold	2390852391
GCF_950005125.1	Chionomys nivalis	269649	Chromosome	2393390621
GCF_022539635.2	Chironomus tepperi	113505	Contig	202325903
GCF_009829145.1	Chiroxiphia lanceolata	296741	Chromosome	1089631598
GCF_000002595.2	Chlamydomonas reinhardtii	3055	Chromosome	111098438
GCF_000695195.1	Chlamydotis macqueenii	187382	Scaffold	1086566339
GCF_000147415.1	Chlorella variabilis	554065	Scaffold	46159512
GCF_047675955.1	Chlorocebus sabaeus	60711	Chromosome	3267373866
GCF_015220235.1	Choloepus didactylus	27675	Chromosome	3214686105
GCF_000350225.1	Chondrus crispus	2769	Scaffold	104800334
GCF_025370935.1	Choristoneura fumiferana	7141	Chromosome	575343295
GCF_963924245.1	Chroicocephalus ridibundus	1192867	Chromosome	1417554307
GCF_011386835.1	Chrysemys picta bellii	8478	Chromosome	2372089908
GCF_000296735.1	Chrysochloris asiatica	185453	Scaffold	4210093806
GCF_905475395.1	Chrysoperla carnea	189513	Chromosome	560232532
GCF_000331145.2	Cicer arietinum	3827	Chromosome	530271971
GCF_034638445.1	Ciconia boyciana	52775	Chromosome	1240615254
GCF_000648675.2	Cimex lectularius	79782	Scaffold	510833625
GCF_963662255.1	Cinclus cinclus	127875	Chromosome	1170837027
GCF_018327825.1	Ciona intestinalis	7719	Chromosome	140258035
GCF_022201045.2	Citrus sinensis	2711	Complete Genome	298977511
GCF_000493195.1	Citrus x clementina	85681	Scaffold	301364702
GCF_000835475.1	Cladophialophora bantiana CBS 173.52	1442370	Scaffold	36722552
GCF_000365165.1	Cladophialophora carrionii CBS 160.54	1279043	Scaffold	28991111
GCF_000835495.1	Cladophialophora immunda	569365	Scaffold	43029152
GCF_000585535.1	Cladophialophora psammophila CBS 110553	1182543	Scaffold	39420127
GCF_000585515.1	Cladophialophora yegresii CBS 114405	1182544	Scaffold	27898422
GCF_011745625.1	Cladosporium halotolerans	1052096	Scaffold	27912799
GCF_024256425.1	Clarias gariepinus	13013	Chromosome	969604269
GCF_947623445.1	Clavelina lepadiformis	159417	Chromosome	210074726
GCF_014636115.1	Clavispora lusitaniae	36911	Contig	12128633
GCF_023055335.1	Clinocottus analis	304258	Scaffold	538100726
GCF_949628265.1	Cloeon dipterum	197152	Chromosome	190111064
GCF_900700415.2	Clupea harengus	7950	Chromosome	786308905
GCF_902728285.1	Clytia hemisphaerica	252671	Scaffold	420978673
GCF_951640355.1	Cnephaeus nilssonii	3371016	Chromosome	2064102006
GCF_000149335.2	Coccidioides immitis RS	246410	Scaffold	28947925
GCF_018416015.2	Coccidioides posadasii str. Silveira	443226	Complete Genome	28193268
GCF_907165205.1	Coccinella septempunctata	41139	Chromosome	398849173
GCF_000258705.1	Coccomyxa subellipsoidea C-169	574566	Contig	48826616
GCF_032717465.1	Coenobita brevimanus	1547439	Chromosome	4733026297
GCF_036785885.1	Coffea arabica	13443	Chromosome	1198133039
GCF_003713205.1	Coffea eugenioides	49369	Chromosome	699903961
GCF_025118155.1	Cokeromyces recurvatus	90255	Contig	28120762
GCF_905220415.1	Colias croceus	72248	Chromosome	324897031
GCF_028858725.1	Colius striatus	57412	Chromosome	1212464869
GCF_013123115.1	Colletes gigas	935657	Scaffold	273056604
GCF_051014445.1	Colletes latitarsis	2605962	Chromosome	757410764
GCF_030869225.1	Colletotrichum abscissum	1671311	Scaffold	53936108
GCF_030867785.1	Colletotrichum acutatum	27357	Contig	49057477
GCF_013390185.1	Colletotrichum aenigma	1215731	Contig	59189926
GCF_026319265.1	Colletotrichum chrysophilum	1836956	Contig	55966644
GCF_030867565.1	Colletotrichum costaricense	1209916	Scaffold	51625248
GCF_034447905.1	Colletotrichum destructivum	34406	Complete Genome	51750812
GCF_027942845.1	Colletotrichum fioriniae	710243	Scaffold	49445812
GCF_000319635.2	Colletotrichum fructicola Nara gc5	1213859	Contig	59542867
GCF_011800055.1	Colletotrichum gloeosporioides	474922	Scaffold	61904035
GCF_030913485.1	Colletotrichum godetiae	1209918	Contig	51652851
GCF_000149035.1	Colletotrichum graminicola M1.001	645133	Scaffold	51604658
GCF_001672515.1	Colletotrichum higginsianum IMI 349063	759273	Chromosome	50716103
GCF_011947395.1	Colletotrichum karsti	1095194	Scaffold	51850041
GCF_023278565.1	Colletotrichum lupini	145971	Complete Genome	63407421
GCF_030913465.1	Colletotrichum navitas	681940	Contig	52434554
GCF_001831195.1	Colletotrichum orchidophilum	1209926	Scaffold	48556462
GCF_030867605.1	Colletotrichum paranaense	1914294	Contig	49177916
GCF_030913505.1	Colletotrichum phormii	359342	Contig	51666170
GCF_011075155.1	Colletotrichum scovillei	1209932	Contig	52001227
GCF_013390195.1	Colletotrichum siamense	690259	Contig	62936415
GCF_022836535.1	Colletotrichum spaethianum	700344	Contig	50915707
GCF_030869305.1	Colletotrichum tamarilloi	1209934	Scaffold	52071711
GCF_014235925.2	Colletotrichum truncatum	5467	Contig	57008971
GCF_000951035.1	Colobus angolensis palliatus	336983	Scaffold	2970124662
GCF_033807715.1	Cololabis saira	129043	Chromosome	1146345828
GCF_904425465.1	Colossoma macropomum	42526	Scaffold	1221847006
GCF_036013475.1	Columba livia	8932	Chromosome	1325566026
GCF_029603195.1	Condylostylus longicornis	2530218	Contig	543988939
GCF_000260355.1	Condylura cristata	143302	Scaffold	1769662895
GCF_963514075.1	Conger conger	82655	Chromosome	1136402888
GCF_000271625.1	Coniophora puteana RWD-64-598 SS2	741705	Scaffold	42968544
GCF_000281105.1	Coniosporium apollinis CBS 100218	1168221	Scaffold	28645321
GCF_009176525.2	Contarinia nasturtii	265458	Scaffold	185885008
GCF_964194025.1	Convolutriloba macropyga	536237	Chromosome	1175981408
GCF_000648655.2	Copidosoma floridanum	29053	Scaffold	553956141
GCF_000182895.1	Coprinopsis cinerea okayama7#130	240176	Contig	36150142
GCF_003945725.1	Corapipo altera	415028	Scaffold	1095745976
GCF_001636725.1	Cordyceps fumosorosea ARSEF 2679	1081104	Scaffold	33485962
GCF_000225605.1	Cordyceps militaris CM01	983644	Scaffold	32268578
GCF_020615455.1	Coregonus clupeaformis	59861	Chromosome	2753270621
GCF_030987335.1	Cornus florida	4283	Scaffold	1253041134
GCF_963422355.1	Corticium candelabrum	121492	Chromosome	185491545
GCF_000691975.1	Corvus brachyrhynchos	85066	Scaffold	1091312783
GCF_000738735.6	Corvus cornix cornix	932674	Chromosome	1030864775
GCF_020740725.1	Corvus hawaiiensis	134902	Chromosome	1151594481
GCF_017639235.1	Corvus kubaryi	68294	Scaffold	1057484666
GCF_009650955.1	Corvus moneduloides	1196302	Chromosome	1112734094
GCF_901000735.1	Corylus avellana	13451	Chromosome	369779143
GCF_030265065.1	Corythoichthys intestinalis	161448	Chromosome	1326793283
GCF_020080835.1	Cotesia glomerata	32391	Chromosome	288846213
GCF_013202065.1	Cotesia typhae	2053667	Contig	186662351
GCF_900634415.1	Cottoperca gobio	56716	Chromosome	609391784
GCF_001577835.2	Coturnix japonica	93934	Chromosome	927640260
GCF_053477285.1	Crassostrea virginica	6565	Chromosome	529025936
GCF_000223135.1	Cricetulus griseus	10029	Scaffold	2399770464
GCF_003668045.3	Cricetulus griseus	10029	Chromosome	2366634374
GCF_001723895.1	Crocodylus porosus	8502	Scaffold	2049519336
GCF_008692635.1	Crocuta crocuta	9678	Scaffold	2348360376
GCF_016545835.1	Crotalus tigris	88082	Contig	1612002213
GCF_011745365.1	Cryphonectria parasitica EP155	660469	Scaffold	43870411
GCF_001720205.1	Cryptococcus amylolentus CBS 6039	1295533	Scaffold	20254996
GCF_000836335.1	Cryptococcus bacillisporus CA1280	1296109	Complete Genome	17825526
GCF_036417295.1	Cryptococcus decagattii	1859122	Complete Genome	17768546
GCF_000149385.1	Cryptococcus deneoformans B-3501A	283643	Chromosome	19699782
GCF_000091045.1	Cryptococcus deneoformans JEC21	214684	Chromosome	19051922
GCF_001720195.1	Cryptococcus depauperatus CBS 7841	1295531	Complete Genome	16179376
GCF_002954075.1	Cryptococcus deuterogattii R265	294750	Chromosome	17550122
GCF_000185945.1	Cryptococcus gattii WM276	367775	Chromosome	18374760
GCF_000149245.1	Cryptococcus neoformans H99	235443	Chromosome	18891193
GCF_000835755.1	Cryptococcus tetragattii IND107	1296105	Chromosome	17799622
GCF_001720155.1	Cryptococcus wingfieldii CBS 7118	1295528	Scaffold	19969799
GCF_030272615.1	Cryptomeria japonica	3369	Chromosome	9046532310
GCF_000194455.1	Cryptomonas paramaecium	2898	Chromosome	487066
GCF_001865355.1	Cryptosporidium andersoni	117008	Scaffold	9088557
GCF_009768925.1	Cryptosporidium bovis	310047	Scaffold	9111170
GCF_000006425.1	Cryptosporidium hominis TU502	353151	Scaffold	8743570
GCF_000006515.1	Cryptosporidium muris RN66	441375	Scaffold	9245251
GCF_000165345.1	Cryptosporidium parvum Iowa II	353152	Chromosome	9102324
GCF_009792415.1	Cryptosporidium ryanae	515981	Scaffold	9059344
GCF_004936735.1	Cryptosporidium sp. chipmunk genotype I	1280935	Scaffold	9052409
GCF_001865345.1	Cryptosporidium ubiquitum	857276	Scaffold	8970213
GCF_002891405.2	Cryptotermes secundus	105785	Scaffold	1018932804
GCF_003426905.1	Ctenocephalides felis	7515	Scaffold	775452550
GCF_019924925.1	Ctenopharyngodon idella	7959	Chromosome	893198495
GCF_017976375.1	Cuculus canorus	55661	Chromosome	1180136575
GCF_025177605.1	Cucumis melo	3656	Chromosome	438252206
GCF_000004075.3	Cucumis sativus	3659	Chromosome	224801081
GCF_002738345.1	Cucurbita maxima	3661	Scaffold	271413401
GCF_002738365.1	Cucurbita moschata	3662	Scaffold	269943085
GCF_002806865.2	Cucurbita pepo subsp. pepo	3664	Chromosome	259381069
GCF_010015615.1	Cucurbitaria berberidis CBS 394.84	1168544	Scaffold	32905402
GCF_016801865.2	Culex pipiens pallens	42434	Chromosome	566339288
GCF_015732765.1	Culex quinquefasciatus	7176	Chromosome	573214445
GCF_036172545.1	Culicoides brevitarsis	469753	Chromosome	129492607
GCF_044706935.1	Curcuma longa	136217	Chromosome	368886077
GCF_030864355.1	Cutaneotrichosporon cavernicola	279322	Complete Genome	20237334
GCF_008065305.1	Cutaneotrichosporon oleaginosum	879819	Contig	19820908
GCF_000091205.1	Cyanidioschyzon merolae strain 10D	280699	Complete Genome	16546747
GCF_002901205.1	Cyanistes caeruleus	156563	Scaffold	1186980630
GCF_001661405.1	Cyberlindnera jadinii NRRL Y-1542	983966	Scaffold	13018415
GCF_009769545.1	Cyclopterus lumpus	8103	Chromosome	572885595
GCF_002999335.1	Cyclospora cayetanensis	88456	Contig	44363576
GCF_948474715.1	Cydia amplana	1869771	Chromosome	504318984
GCF_963556715.1	Cydia fagiglandana	1458189	Chromosome	555051570
GCF_033807575.1	Cydia pomonella	82600	Chromosome	642246045
GCF_910591565.1	Cydia splendana	1100963	Chromosome	630601649
GCF_947568885.1	Cydia strobilella	1100964	Chromosome	542588748
GCF_013377495.2	Cygnus atratus	8868	Chromosome	1124217020
GCF_009769625.2	Cygnus olor	8869	Chromosome	1134169903
GCF_029955315.1	Cylas formicarius	197179	Scaffold	391099484
GCF_001531365.2	Cynara cardunculus var. scolymus	59895	Chromosome	724962400
GCF_027409185.1	Cynocephalus volans	110931	Chromosome	2814418120
GCF_000523025.1	Cynoglossus semilaevis	244447	Chromosome	470182763
GCF_001299255.1	Cyphellophora attinorum	1664694	Contig	30363635
GCF_000365145.1	Cyphellophora europaea CBS 101466	1220924	Scaffold	28781303
GCF_001594065.2	Cyphomyrmex costatus	456900	Scaffold	299845939
GCF_016077235.1	Cyprinodon tularosa	77115	Contig	1086882241
GCF_000732505.1	Cyprinodon variegatus	28743	Scaffold	1035167975
GCF_018340385.1	Cyprinus carpio	7962	Chromosome	1680118328
GCF_038088225.1	Cyrtonyx montezumae	9017	Scaffold	1011858581
GCF_039999085.1	Cystobasidium minutum MCA 4210	1397322	Scaffold	20824934
GCF_002600585.1	Cystoisospora suis	483139	Scaffold	83597486
GCF_000292625.1	Dacryopinax primogenitus	1858805	Scaffold	29503487
GCF_025091365.1	Daktulosphaira vitifoliae	58002	Scaffold	282588554
GCF_022478825.1	Daldinia caldariorum	326644	Scaffold	35556611
GCF_008694065.1	Daldinia childiae	326645	Scaffold	38652569
GCF_022478715.1	Daldinia decipiens	326647	Scaffold	35255283
GCF_022478755.1	Daldinia loculata	103429	Scaffold	37819304
GCF_022497035.1	Daldinia vernicosa	114800	Scaffold	35841789
GCF_025399875.1	Dalotia coriaria	877792	Scaffold	193876233
GCF_033118175.1	Dama dama	30532	Chromosome	3104280228
GCF_018135715.1	Danaus plexippus	13037	Chromosome	245173502
GCF_903798145.1	Danio aesculapii	1142201	Chromosome	1381485597
GCF_049306965.1	Danio rerio	7955	Complete Genome	1448791966
GCF_022539665.2	Daphnia carinata	120202	Chromosome	108144665
GCF_020631705.1	Daphnia magna	35525	Chromosome	161452108
GCF_021134715.1	Daphnia pulex	6669	Chromosome	133181052
GCF_021234035.1	Daphnia pulicaria	35523	Chromosome	185057732
GCF_030445035.2	Dasypus novemcinctus	9361	Chromosome	3610534858
GCF_001625215.2	Daucus carota subsp. sativus	79200	Chromosome	440713325
GCF_001447935.2	Debaryomyces fabryi	58627	Contig	11695966
GCF_000006445.2	Debaryomyces hansenii CBS767	284592	Chromosome	12152486
GCF_002288925.2	Delphinapterus leucas	9749	Scaffold	2362758273
GCF_949987515.2	Delphinus delphis	9728	Chromosome	2663516986
GCF_039654945.1	Dendrobates tinctorius	92724	Contig	6355763190
GCF_001605985.2	Dendrobium catenatum	906689	Scaffold	1104107363
GCF_020466585.1	Dendroctonus ponderosae	77166	Scaffold	223597517
GCF_004324835.1	Dendronephthya gigantea	151771	Contig	286131786
GCF_027789765.1	Dendropsophus ebraccatus	150705	Chromosome	2214937069
GCF_900700375.2	Denticeps clupeoides	299321	Chromosome	567401054
GCF_038994185.2	Dermacentor albipictus	60249	Chromosome	2210616132
GCF_023375885.2	Dermacentor andersoni	34620	Chromosome	2425198141
GCF_013339745.2	Dermacentor silvarum	543639	Chromosome	2474293395
GCF_050947875.1	Dermacentor variabilis	34621	Chromosome	2477349138
GCF_024713945.1	Dermatophagoides farinae	6954	Chromosome	62428314
GCF_027571235.1	Dermatophagoides pteronyssinus	6956	Scaffold	56739868
GCF_009764565.3	Dermochelys coriacea	27794	Chromosome	2164762090
GCF_030435595.1	Desarmillaria tabescens	1929756	Contig	74875987
GCF_022682495.2	Desmodus rotundus	9430	Chromosome	2119704833
GCF_040954645.1	Diabrotica undecimpunctata	50387	Chromosome	1742964013
GCF_917563875.1	Diabrotica virgifera virgifera	50390	Chromosome	2533404242
GCF_001412515.2	Diachasma alloeum	454923	Scaffold	384371871
GCF_034640455.1	Diachasmimorpha longicaudata	58733	Chromosome	194452999
GCF_040938485.1	Diadema antillarum	105358	Contig	1754659819
GCF_964275005.1	Diadema setosum	31175	Chromosome	912728646
GCF_000475195.1	Diaphorina citri	121845	Scaffold	485705082
GCF_026229845.1	Diaporthe amygdali	1214568	Scaffold	51483502
GCF_019321695.1	Diaporthe batatas	748121	Contig	54186171
GCF_014595645.1	Diaporthe citri	83186	Contig	63685968
GCF_905237075.1	Dicentrarchus labrax	13489	Scaffold	695892153
GCF_020826845.1	Diceros bicornis minor	77932	Chromosome	3005519209
GCF_000275845.1	Dichomitus squalens LYAD-421 SS1	732165	Scaffold	42748430
GCF_033296635.1	Dichotomopilus funicola	1934379	Scaffold	32615522
GCF_000004695.1	Dictyostelium discoideum AX4	352472	Chromosome	34149409
GCF_000190715.1	Dictyostelium purpureum	5786	Scaffold	32967225
GCF_010094145.1	Didymella exigua CBS 183.55	1150837	Scaffold	34389227
GCF_027946475.1	Didymosphaeria variabile	1932322	Contig	39450705
GCF_001313825.1	Dinoponera quadriceps	609295	Scaffold	259665865
GCF_026250575.1	Diorhabda carinulata	1163345	Chromosome	415369604
GCF_026230105.1	Diorhabda sublineata	1163346	Chromosome	456219552
GCF_009730915.1	Dioscorea cayenensis subsp. rotundata	55577	Chromosome	584153202
GCF_014633365.1	Diospyros lotus	55363	Chromosome	630098508
GCF_025882075.1	Dioszegia hungarica	4972	Contig	20956552
GCF_001883845.1	Diplodia corticola	236234	Scaffold	34986079
GCF_021436955.1	Diplodia seriata	420778	Contig	37536239
GCF_038497935.1	Dipodascopsis tothii	44089	Scaffold	13125970
GCF_024711535.1	Dipodomys merriami	94247	Scaffold	3365237443
GCF_000151885.1	Dipodomys ordii	10020	Scaffold	2236368823
GCF_019054845.1	Dipodomys spectabilis	105255	Contig	2844766008
GCF_021155765.1	Diprion similis	362088	Chromosome	270225736
GCF_010015565.1	Dissoconium aciculare CBS 342.82	1314786	Scaffold	26537235
GCF_001186385.1	Diuraphis noxia	143948	Scaffold	395057805
GCF_008704595.1	Diutina rugosa	5481	Scaffold	13445959
GCF_037039965.1	Doryrhamphus excisus	161450	Chromosome	497388357
GCF_010015815.1	Dothidotthia symphoricarpi CBS 119687	1392245	Scaffold	34433519
GCF_001625195.1	Drechmeria coniospora	98403	Chromosome	32831003
GCF_020536995.1	Dreissena polymorpha	45954	Chromosome	1797942340
GCF_022702325.1	Drepanopeziza brunnea f. sp. 'multigermtubi'	698441	Contig	51946279
GCF_036370855.1	Dromaius novaehollandiae	8790	Chromosome	1468706110
GCF_019393635.1	Dromiciops gliroides	33562	Chromosome	3303199800
GCF_009650485.2	Drosophila albomicans	7291	Chromosome	167525814
GCF_017639315.1	Drosophila ananassae	7217	Chromosome	213817545
GCF_001654025.1	Drosophila arizonae	7263	Scaffold	141386800
GCF_025231255.1	Drosophila biarmipes	125945	Chromosome	193597863
GCF_030179905.1	Drosophila bipectinata	42026	Chromosome	191877550
GCF_011750605.1	Drosophila busckii	30019	Chromosome	118492362
GCF_018152505.1	Drosophila elegans	30023	Contig	178445117
GCF_003286155.1	Drosophila erecta	7220	Contig	146538397
GCF_018153835.1	Drosophila eugracilis	29029	Contig	164811307
GCF_018152265.1	Drosophila ficusphila	30025	Contig	167832931
GCF_018153295.1	Drosophila grimshawi	7222	Contig	191382978
GCF_900245975.1	Drosophila guanche	7266	Scaffold	140632981
GCF_025200985.1	Drosophila gunungcola	103775	Chromosome	189841955
GCF_003285905.1	Drosophila hydei	7224	Contig	153741574
GCF_004354385.1	Drosophila innubila	198719	Chromosome	167978031
GCF_030179895.1	Drosophila kikkawai	30033	Chromosome	188497101
GCF_004382145.1	Drosophila mauritiana	7226	Chromosome	152298302
GCF_000001215.4	Drosophila melanogaster	7227	Chromosome	143706478
GCF_003369915.1	Drosophila miranda	7229	Chromosome	287096000
GCF_018153725.1	Drosophila mojavensis	7230	Contig	163170721
GCF_035044405.1	Drosophila montana	40370	Contig	191421679
GCF_023558535.2	Drosophila nasuta	42062	Chromosome	171766801
GCF_001654015.2	Drosophila navojoa	7232	Scaffold	147357603
GCF_003285875.2	Drosophila novamexicana	47314	Contig	177223868
GCF_018151105.1	Drosophila obscura	7282	Contig	179834232
GCF_003286085.1	Drosophila persimilis	7234	Contig	195512972
GCF_009870125.1	Drosophila pseudoobscura	7237	Chromosome	163266851
GCF_018152115.1	Drosophila rhopaloa	1041015	Contig	193508231
GCF_016746245.2	Drosophila santomea	129105	Chromosome	146800522
GCF_004382195.2	Drosophila sechellia	7238	Chromosome	153084571
GCF_002093755.2	Drosophila serrata	7274	Contig	196034539
GCF_016746395.2	Drosophila simulans	7240	Chromosome	131663590
GCF_008121235.1	Drosophila subobscura	7241	Chromosome	126232139
GCF_014743375.2	Drosophila subpulchrella	1486046	Chromosome	265153789
GCF_023558435.1	Drosophila sulfurigaster albostrigata	89887	Chromosome	168251146
GCF_043229965.1	Drosophila suzukii	28584	Chromosome	282295391
GCF_030179915.1	Drosophila takahashii	29030	Chromosome	195929306
GCF_016746235.2	Drosophila teissieri	7243	Chromosome	149494471
GCF_018151085.1	Drosophila tropicalis	46794	Contig	211041385
GCF_030788295.1	Drosophila virilis	7244	Chromosome	189440335
GCF_018902025.1	Drosophila willistoni	7260	Chromosome	246985538
GCF_016746365.2	Drosophila yakuba	7245	Chromosome	147883098
GCF_014839835.1	Dryobates pubescens	118200	Chromosome	1187939694
GCF_001272555.1	Dufourea novaeangliae	178035	Scaffold	279505983
GCF_027744805.1	Dunckerocampus dactyliophorus	161453	Chromosome	670648883
GCF_002303985.1	Durio zibethinus	66656	Scaffold	715230256
GCF_024521655.1	Durotheca rogersii	419775	Contig	48181149
GCF_963678975.1	Dysidea avara	196820	Chromosome	550830897
GCF_900963305.2	Echeneis naucrates	173247	Chromosome	544212633
GCF_000524195.1	Echinococcus granulosus	6210	Scaffold	110837706
GCF_000313985.2	Echinops telfairi	9371	Scaffold	2947103070
GCF_000687185.1	Egretta garzetta	188379	Scaffold	1206484573
GCF_000499425.1	Eimeria acervulina	5801	Scaffold	45830609
GCF_000499605.1	Eimeria maxima	5804	Scaffold	45975062
GCF_000499745.2	Eimeria mitis	44415	Scaffold	72240319
GCF_000499385.1	Eimeria necatrix	51315	Scaffold	55007932
GCF_000499545.2	Eimeria tenella	5802	Scaffold	51859607
GCF_000442705.2	Elaeis guineensis	51953	Chromosome	1841922575
GCF_951216825.1	Electrona antarctica	206093	Chromosome	1427425719
GCF_041902795.1	Electrophorus electricus	8005	Chromosome	833427914
GCF_013358815.1	Electrophorus electricus	8005	Chromosome	589358956
GCF_036324505.1	Eleginops maclovinus	56733	Chromosome	606289673
GCF_000299155.1	Elephantulus edwardii	28737	Scaffold	3843982861
GCF_024166365.1	Elephas maximus indicus	99487	Chromosome	3401247148
